name,municipality,address,lat,lng,phone,website,nearest_station,walk_minutes,has_female_doctor,has_sedation,weekend,quick_reservation,parking,online_reservation,in_clinic_prep,barrier_free,credit_card,ct_colonography,exam_types,form_note,source_url,verified
大岡胃腸内科,足利市,栃木県足利市花園町4-2,36.3358,139.473877,0284-41-1177,https://shobikai.com/pages/56/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
かめいクリニック,足利市,栃木県足利市堀込町2760-1,36.314816,139.439774,0284-70-6607,http://www.kameiclinic.com/,,,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
筑波医院,足利市,栃木県足利市羽刈町57,36.271938,139.469437,0284-71-1633,https://www.tukubaclinic.jp/,,,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
長崎病院,足利市,栃木県足利市伊勢町1-4-7,36.332031,139.45723,0284-41-2230,https://www.nagasakihospital.info/,足利駅,2,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
本庄記念病院,足利市,栃木県足利市堀込町2859,36.319904,139.434875,0284-73-1199,http://www.honhp.or.jp/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
皆川病院,足利市,栃木県足利市多田木町1168-1,36.312069,139.530151,0284-91-2188,https://ryu-sei.or.jp/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
うるしばらクリニック,足利市,栃木県足利市借宿町610-7,36.330124,139.436951,0284-70-7177,https://urushibara-in.com/,,,,TRUE,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
小野内科消化器科医院,足利市,栃木県足利市旭町851-4,36.340973,139.45578,0284-22-3730,https://www.onoiin.net/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
伏島クリニック,足利市,栃木県足利市朝倉町3-3-1,36.322002,139.444138,0284-70-3085,,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
江田クリニック,栃木市,栃木県栃木市岩舟町小野寺2575-7,36.365273,139.63327,0282-57-1234,https://edaclinic.com/,,,,TRUE,TRUE,,,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
とちぎメディカルセンターしもつが,栃木市,栃木県栃木市大平町川連420-1,36.358494,139.718155,0282-22-2551,https://www.tochigi-medicalcenter.or.jp/shimotsuga/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
なかつぼクリニック,栃木市,栃木県栃木市箱森町36-2,36.39172,139.728455,0282-20-5252,https://www.nakatsubo-clinic.com,,,,,TRUE,,,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
なんぱクリニック,栃木市,栃木県栃木市平井町219-5,36.367916,139.710999,0282-24-7787,,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
西方病院,栃木市,栃木県栃木市西方町金崎273-3,36.468109,139.74649,0282-92-2323,http://nishikata-hp.or.jp/,,,,,TRUE,,,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
大平ファミリークリニック,栃木市,栃木県栃木市大平町富田5-229,36.336651,139.701584,0282-43-7500,https://www.ohira-cl.jp/,新大平下駅,8,,,TRUE,,,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
小松原医院,栃木市,栃木県栃木市岩舟町静550-2,36.321404,139.662247,0282-55-2026,https://sites.google.com/site/komatsubaraiin/home,,,,,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
腰塚医院,栃木市,栃木県栃木市藤岡町藤岡1845-10,36.251526,139.64743,0282-62-2072,https://koshizuka.com/,,,,,TRUE,,,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
みずほクリニック,栃木市,栃木県栃木市大平町牛久99-2,36.35627,139.733215,0282-25-1222,https://www.mizuhoclinic.info/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
佐野医師会病院,佐野市,栃木県佐野市植上町1677,36.303532,139.582001,0283-22-5358,http://www.sanoishikai.or.jp/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
佐野厚生総合病院,佐野市,栃木県佐野市堀米町1728,36.325302,139.571945,0283-22-5222,https://jasanoko.or.jp/,堀米駅,10,,,,,,,,,TRUE,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
佐野市民病院,佐野市,栃木県佐野市田沼町1832-1,36.37252,139.582092,0283-62-5111,https://smc-hp.net/,田沼駅,7,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
宇賀神内科外科,鹿沼市,栃木県鹿沼市久保町1618-5,36.565277,139.74614,0289-60-6300,https://pc2628.sumomo.ne.jp/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
上都賀総合病院,鹿沼市,栃木県鹿沼市下田町1-1033,36.561649,139.750748,0289-64-2161,https://www.kamituga-hp.or.jp/,,,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
御殿山病院,鹿沼市,栃木県鹿沼市今宮町1682-2,36.566959,139.743912,0289-64-2131,https://gotenyama.or.jp/,,,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
宮司外科胃腸科,鹿沼市,栃木県鹿沼市府所町119-1,36.567486,139.75708,0289-62-6222,https://www.guujigeka.jp/,鹿沼駅,12,,,,,,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
足尾双愛病院,日光市,栃木県日光市足尾町砂畑4147-2,36.628551,139.433746,0288-93-2011,http://www.ashiohp.com/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
今市病院,日光市,栃木県日光市今市381,36.722794,139.68573,0288-22-2200,https://imaichi-hospital.com/,今市駅,6,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
本町内科クリニック,日光市,栃木県日光市吉沢239-9,36.712433,139.705963,0288-25-3120,https://www.hontyonaika.jp/,,,,,TRUE,,TRUE,,,TRUE,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
獨協医科大学日光医療センター,日光市,栃木県日光市森友145-1,36.709911,139.728607,0288-23-7000,https://www.dokkyomed.ac.jp/nmc/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
青木医院,小山市,栃木県小山市網戸1850,36.265499,139.740677,0285-45-5545,http://aoki-iin.net/,,,,TRUE,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
暁クリニック,小山市,栃木県小山市犬塚62,36.322598,139.832825,0285-24-6868,,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
新小山市民病院,小山市,栃木県小山市神鳥谷2251-1,36.2785,139.799438,0285-36-0200,https://tochigi.hospital-shinoyama.jp/,小山駅,,,,,,TRUE,,,TRUE,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
城南クリニック,小山市,栃木県小山市西城南2-18-7,36.29702,139.80365,0285-28-7780,https://jonan-clinic.jp/,小山駅,,,,TRUE,,TRUE,TRUE,TRUE,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
高橋内科歯科クリニック,真岡市,栃木県真岡市西郷170-1,36.45274,140.002319,0285-84-7580,https://takahashi-naika-shika.jp/,北真岡駅,25,,,TRUE,,TRUE,TRUE,,TRUE,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
芳賀赤十字病院,真岡市,栃木県真岡市中郷2-10-1,36.453598,140.017563,0570-01-2195,https://www.haga.jrc.or.jp/,,,,,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
福田記念病院,真岡市,栃木県真岡市並木町3-10-6,36.442982,139.995575,0285-84-1171,http://www.fukudakai.sms.gr.jp/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
真岡病院,真岡市,栃木県真岡市荒町3-45-16,36.446167,140.016953,0285-84-6311,https://moka-hp.jp/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
柳田外科肛門科医院,真岡市,栃木県真岡市台町15-3,36.447243,140.009323,0285-82-5525,https://ryuusin.sakura.ne.jp/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
那須赤十字病院,大田原市,栃木県大田原市中田原1081-4,36.88142,140.036987,0287-23-1122,https://www.nasu.jrc.or.jp/,,,,,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
那須中央病院,大田原市,栃木県大田原市下石上1453,36.855656,139.948135,0287-29-2121,https://www.nasuchuoh-hospital.jp/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
増山胃腸科クリニック,大田原市,栃木県大田原市加治屋83-413,36.854382,139.994446,0287-23-6321,https://masuyama-clinic.or.jp/,西那須野駅,,,TRUE,TRUE,,TRUE,,,,TRUE,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
河島クリニック,大田原市,栃木県大田原市中央2-9-32,36.867764,140.021591,0287-20-1192,https://kawashima-naikageka.clinic/,,,,TRUE,TRUE,,TRUE,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
尾形クリニック,矢板市,栃木県矢板市末広町45-3,36.804546,139.93576,0287-43-2230,https://www.ogata-cl.or.jp/,矢板駅,5,,,TRUE,,,,,,TRUE,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
国際医療福祉大学塩谷病院,矢板市,栃木県矢板市富田77,36.79837,139.924255,0287-44-1155,https://shioya.iuhw.ac.jp/,矢板駅,15,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
小沼内科胃腸科クリニック,那須塩原市,栃木県那須塩原市西朝日町6-42,36.885555,139.989639,0287-37-5353,https://konuma-clinic.jp/,西那須野駅,,,,TRUE,,,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
菅間記念病院,那須塩原市,栃木県那須塩原市大黒町2-5,36.97126,140.049667,0287-62-0733,https://www.hakuai.or.jp/kamma/,黒磯駅,10,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
滝田メディカルクリニック,那須塩原市,栃木県那須塩原市本町9-26,36.971302,140.056259,0287-62-0392,https://www.takitamed.com/,,,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
緑の杜クリニック,那須塩原市,栃木県那須塩原市大原間西1-6-7,36.931816,140.017792,0287-67-3339,,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
黒須病院,さくら市,栃木県さくら市氏家2650,36.680206,139.968109,028-682-8811,https://www.kurosu-hospital.jp/,,,,,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
花塚クリニック,さくら市,栃木県さくら市喜連川841-1,36.731621,140.008545,028-686-7667,http://www.hanatsuka-cl.com/,,,,TRUE,TRUE,,,,TRUE,TRUE,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
根本医院,さくら市,栃木県さくら市櫻野1250,36.683609,139.969604,028-682-2800,https://www.nemotoiin.net/,氏家駅,8,,TRUE,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
那須南病院,那須烏山市,栃木県那須烏山市中央3-2-13,36.660069,140.152802,0287-84-3911,https://nasuminami-hosp.jp/,烏山駅,10,,,,,,,,,TRUE,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
石橋総合病院,下野市,栃木県下野市下古山1-15-4,36.442123,139.855469,0285-53-1134,https://ishibashi-hp.jp/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
小金井中央病院,下野市,栃木県下野市小金井2-4-3,36.38554,139.840744,0285-44-7000,https://www.koganei-chuo-hp.com/,,,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
自治医科大学附属病院,下野市,栃木県下野市薬師寺3311-1,36.4034,139.858521,0285-44-2111,https://www.jichi.ac.jp/hospital/top/,自治医大駅,15,,,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
獨協医科大学病院,壬生町,栃木県壬生町北小林880,36.472305,139.825363,0282-86-1111,https://www.dokkyomed.ac.jp/hosp-m/,おもちゃのまち駅,10,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
高根沢中央病院,高根沢町,栃木県高根沢町光陽台3-16-1,36.618088,139.989639,028-675-1133,https://www.takanezawa-chuo.jp/,宝積寺駅,30,,,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
菅又病院,高根沢町,栃木県高根沢町大字花岡2351,36.655716,140.003586,028-676-0311,https://www.sugamatahp.net/,下野花岡駅,6,,TRUE,TRUE,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
